Prune_Ratio,Accuracy,MF1,Latency_ms,Params_M
0.01,85.03076923,76.71285915,3.21999073,0.25692975
0.05,85.17948718,76.68441869,3.20996212,0.24654875
0.1,85.38205128,76.91910373,3.193162392,0.2335725
0.15,84.71794872,76.23279222,3.188119476,0.22059625
0.2,84.56410256,75.91232169,3.210000267,0.20762
0.25,84.56410256,76.0166779,3.212925842,0.19464375
0.3,83.94871795,76.49792345,3.205009804,0.1816675
0.35,83.12820513,76.51527735,3.201891953,0.16869125
0.4,82.92307692,76.32157853,3.190003586,0.155715
0.45,81.12820513,74.36004927,3.179977875,0.14273875
